t,lat,lon,sog,cog,mmsi,name,type
2025-11-17T13:20:00Z,18.5450,71.7200,12.4,73.0,419325671,ARABIAN HORIZON,oil_tanker
2025-11-17T13:50:00Z,18.5560,71.7420,12.4,73.0,419325671,ARABIAN HORIZON,oil_tanker
2025-11-17T14:08:20Z,18.5642,71.7574,5.6,73.0,419325671,ARABIAN HORIZON,oil_tanker
2025-11-17T17:22:00Z,18.7280,72.1800,12.4,73.0,419325671,ARABIAN HORIZON,oil_tanker
2025-11-17T18:10:00Z,18.7700,72.1950,12.1,73.0,419325671,ARABIAN HORIZON,oil_tanker
2025-11-17T08:42:11Z,18.5200,72.1500,13.8,312.0,419087332,KONKAN TRADER,cargo
2025-11-17T09:30:00Z,18.6000,72.0000,13.8,312.0,419087332,KONKAN TRADER,cargo
2025-11-17T10:18:11Z,18.6801,71.8500,13.8,312.0,419087332,KONKAN TRADER,cargo
2025-11-17T11:00:00Z,18.7500,71.7400,13.8,312.0,419087332,KONKAN TRADER,cargo
2025-11-17T22:42:11Z,18.7771,72.1709,2.8,140.0,419550218,RATNAGIRI-12,fishing
2025-11-18T01:42:11Z,18.7294,72.1546,1.9,210.0,419550218,RATNAGIRI-12,fishing
2025-11-18T04:12:11Z,18.7200,72.1264,3.4,250.0,419550218,RATNAGIRI-12,fishing
2025-11-18T05:42:11Z,18.7302,72.1135,2.2,310.0,419550218,RATNAGIRI-12,fishing
2025-11-18T06:42:11Z,18.7389,72.1122,2.6,40.0,419550218,RATNAGIRI-12,fishing
